y=646, x=522..531
x=414, y=842..852
x=425, y=201..227
x=485, y=1865..1872
x=318, y=1592..1610
x=510, y=911..931
x=318, y=1409..1417
y=1596, x=395..397
x=460, y=1865..1872
x=396, y=1578..1583
x=328, y=1245..1247
y=287, x=366..389
x=395, y=862..873
y=959, x=366..410
y=549, x=349..369
x=478, y=459..469
y=803, x=538..541
y=1231, x=330..446
x=386, y=1531..1541
x=306, y=1863..1865
x=452, y=467..482
y=1480, x=336..344
x=339, y=1830..1842
x=416, y=1774..1787
x=422, y=740..754
x=329, y=1511..1520
x=498, y=630..655
y=1417, x=321..363
x=387, y=1752..1763
y=1437, x=352..377
y=774, x=499..512
x=501, y=1209..1229
y=1850, x=535..548
x=522, y=1081..1087
x=328, y=467..477
x=343, y=1253..1277
x=474, y=1450..1465
x=383, y=816..826
y=873, x=395..413
y=1787, x=400..416
x=357, y=1492..1506
y=1525, x=306..313
x=395, y=722..733
x=319, y=283..287
x=377, y=1785..1796
x=393, y=1067..1080
x=450, y=1072..1092
x=406, y=741..754
x=439, y=803..810
y=567, x=533..541
x=405, y=859..869
x=291, y=103..108
x=318, y=319..328
x=341, y=915..941
x=379, y=1535..1538
x=486, y=1190..1197
x=377, y=85..101
x=425, y=923..929
y=1334, x=464..471
x=374, y=1067..1080
y=1879, x=516..521
x=545, y=1038..1063
x=442, y=122..143
x=468, y=609..611
x=461, y=87..91
x=437, y=338..358
x=541, y=376..396
y=419, x=330..346
x=363, y=180..196
y=457, x=524..540
y=1836, x=352..354
x=504, y=197..199
y=1002, x=341..385
y=929, x=405..425
y=1453, x=469..471
y=360, x=370..372
x=385, y=394..403
x=330, y=1876..1880
x=444, y=51..61
y=1475, x=504..525
y=1417, x=301..318
x=464, y=1319..1334
y=1594, x=525..527
x=428, y=1847..1859
x=346, y=670..690
x=307, y=609..618
y=1040, x=355..373
x=383, y=1237..1239
x=524, y=1665..1685
x=325, y=1245..1247
x=448, y=1775..1786
x=498, y=609..611
x=535, y=1844..1850
x=503, y=150..161
x=370, y=75..100
x=385, y=262..270
y=914, x=432..453
y=853, x=352..354
x=415, y=526..537
y=1157, x=488..490
x=506, y=410..422
x=330, y=44..58
y=829, x=463..487
x=522, y=772..793
y=140, x=369..397
x=451, y=1108..1109
x=307, y=547..564
y=1004, x=423..430
y=64, x=502..505
x=486, y=891..901
x=435, y=1190..1198
x=546, y=1298..1304
x=497, y=458..469
x=443, y=715..718
y=221, x=437..460
x=481, y=1456..1458
x=409, y=1652..1663
y=1062, x=336..339
x=364, y=430..452
x=438, y=579..590
x=357, y=1407..1409
x=502, y=711..719
x=360, y=1025..1033
x=441, y=1502..1520
x=302, y=1444..1461
y=250, x=294..314
y=464, x=297..307
x=371, y=1110..1119
x=463, y=232..242
y=860, x=308..321
x=465, y=443..454
y=752, x=470..473
y=1610, x=318..322
x=477, y=900..921
x=491, y=353..364
x=466, y=561..571
y=381, x=484..487
y=175, x=490..496
y=477, x=313..328
x=395, y=762..771
x=338, y=344..358
x=450, y=371..374
x=316, y=90..100
x=403, y=1379..1400
y=1834, x=352..354
x=541, y=825..827
x=372, y=358..360
y=1541, x=330..386
x=497, y=111..120
x=345, y=1300..1310
x=390, y=440..448
x=482, y=882..886
x=397, y=841..852
y=793, x=517..522
y=309, x=503..510
x=344, y=180..196
x=511, y=1099..1101
y=632, x=442..444
y=1520, x=329..332
x=354, y=430..452
x=301, y=1410..1417
x=442, y=620..632
x=522, y=644..646
x=332, y=1358..1369
x=318, y=791..793
x=325, y=264..292
y=547, x=431..433
x=497, y=1479..1503
y=210, x=395..407
x=396, y=1695..1703
x=424, y=687..689
x=521, y=1294..1310
y=571, x=446..466
y=1675, x=404..415
y=242, x=463..559
x=495, y=75..86
y=1251, x=509..513
x=406, y=666..672
x=427, y=1752..1776
x=305, y=899..916
y=226, x=484..506
x=341, y=1167..1178
x=311, y=1640..1650
x=417, y=1056..1070
y=1577, x=376..382
x=347, y=325..334
x=474, y=373..384
x=436, y=1851..1854
x=390, y=1492..1495
y=1575, x=376..382
y=66, x=300..302
x=348, y=255..270
x=405, y=924..929
x=366, y=404..425
y=914, x=367..386
x=540, y=450..457
x=308, y=899..916
x=398, y=1796..1805
x=417, y=1167..1178
y=893, x=436..443
x=415, y=496..504
x=432, y=1874..1887
x=304, y=993..1013
y=292, x=411..413
y=615, x=435..514
x=473, y=299..303
y=589, x=344..347
x=437, y=529..532
x=510, y=152..164
x=354, y=970..982
y=931, x=494..510
x=311, y=663..671
y=1213, x=402..409
y=1817, x=416..418
y=1318, x=288..309
y=292, x=298..325
x=336, y=1040..1062
y=653, x=424..426
x=421, y=27..39
y=1601, x=388..406
x=407, y=983..987
x=498, y=787..798
x=513, y=1201..1207
y=901, x=486..506
y=1545, x=401..423
x=440, y=579..590
y=220, x=491..496
x=446, y=562..571
x=472, y=1187..1208
x=386, y=641..650
y=1646, x=316..321
y=1270, x=320..324
x=526, y=1754..1762
x=433, y=295..307
y=1763, x=387..406
x=437, y=1621..1638
x=409, y=1313..1321
y=1198, x=435..453
x=549, y=172..183
x=543, y=478..491
x=401, y=1539..1545
x=373, y=1094..1097
x=435, y=602..615
x=503, y=1522..1538
x=415, y=1795..1805
x=400, y=886..888
x=487, y=1282..1310
y=1774, x=354..379
y=81, x=501..506
x=471, y=1450..1453
y=1821, x=407..424
x=374, y=641..650
x=431, y=1307..1312
x=315, y=1371..1376
x=481, y=901..921
x=511, y=853..866
x=451, y=495..503
x=296, y=40..47
y=120, x=493..497
x=330, y=995..1018
y=1803, x=299..308
x=392, y=930..934
x=490, y=1617..1625
x=495, y=1566..1570
y=396, x=541..549
y=1583, x=314..332
x=460, y=209..221
y=335, x=307..324
y=1291, x=536..538
y=1060, x=534..537
y=76, x=534..552
x=478, y=86..91
y=384, x=474..493
x=513, y=732..758
x=429, y=475..479
x=333, y=817..827
x=291, y=908..914
x=391, y=1031..1032
x=517, y=1106..1112
y=1638, x=384..387
y=1164, x=479..499
x=470, y=703..723
x=506, y=474..485
x=406, y=1590..1601
x=425, y=603..612
x=400, y=1694..1703
x=392, y=248..255
x=407, y=1793..1802
x=383, y=21..48
x=417, y=976..990
x=527, y=371..374
y=425, x=355..366
x=414, y=995..1012
x=299, y=1801..1803
x=512, y=763..774
x=499, y=433..447
y=100, x=342..370
x=525, y=1449..1475
x=390, y=204..231
x=373, y=1027..1040
x=336, y=1475..1480
y=1517, x=397..423
y=1514, x=526..543
x=288, y=1187..1195
x=488, y=114..123
x=531, y=1868..1873
y=1535, x=525..528
x=305, y=10..17
x=413, y=645..657
y=971, x=302..311
x=548, y=738..740
x=464, y=1208..1230
x=514, y=909..933
y=1693, x=298..300
x=352, y=1834..1836
x=499, y=737..753
y=733, x=395..412
x=414, y=779..788
x=516, y=908..933
y=849, x=404..406
x=521, y=196..215
x=374, y=900..909
x=521, y=479..482
x=356, y=44..58
x=494, y=858..860
y=376, x=332..334
x=501, y=1449..1465
x=493, y=725..734
y=1075, x=466..476
y=672, x=380..406
x=388, y=1570..1580
y=1785, x=504..514
x=536, y=1608..1635
x=307, y=461..464
x=386, y=902..914
y=852, x=397..414
x=294, y=244..250
y=158, x=309..311
x=514, y=1748..1763
x=502, y=522..535
x=508, y=1627..1640
x=359, y=108..120
x=459, y=1081..1097
x=295, y=222..225
y=1517, x=469..492
x=429, y=616..627
x=344, y=1476..1480
x=504, y=7..19
x=534, y=72..76
x=325, y=1594..1606
y=1316, x=462..482
y=442, x=487..489
x=337, y=1747..1765
x=379, y=1755..1774
x=370, y=597..614
x=483, y=456..464
x=385, y=1442..1451
y=649, x=453..466
x=372, y=385..399
x=426, y=1032..1041
x=426, y=687..689
x=354, y=1253..1277
x=376, y=1094..1097
y=1796, x=377..383
x=402, y=1854..1864
x=413, y=338..358
y=888, x=400..402
x=484, y=370..381
x=355, y=166..169
x=366, y=949..959
y=1094, x=373..376
y=815, x=451..465
y=611, x=468..498
x=334, y=108..120
x=480, y=997..1003
x=401, y=702..716
x=411, y=1313..1321
y=758, x=508..513
y=1769, x=365..370
x=515, y=1150..1157
y=1183, x=512..532
x=479, y=1148..1164
x=525, y=1627..1640
y=1033, x=360..364
y=469, x=478..497
y=810, x=397..416
y=941, x=341..348
y=374, x=450..466
y=1133, x=389..393
x=538, y=1268..1269
y=316, x=532..554
y=13, x=457..459
y=413, x=337..339
x=358, y=236..257
y=243, x=343..351
x=370, y=358..360
x=487, y=431..442
y=827, x=333..356
y=1393, x=289..300
y=358, x=338..344
y=659, x=335..339
x=530, y=888..900
x=314, y=1614..1624
y=772, x=531..542
y=1269, x=522..538
x=414, y=1452..1469
x=335, y=1151..1159
y=1769, x=545..548
x=459, y=1170..1171
y=1802, x=404..407
x=461, y=687..703
y=1274, x=308..330
x=340, y=1616..1626
y=68, x=492..512
x=311, y=968..971
x=316, y=1637..1646
x=526, y=557..564
x=302, y=64..66
y=723, x=470..472
y=183, x=483..549
x=519, y=527..531
x=543, y=1504..1514
x=516, y=337..349
y=1814, x=416..418
x=523, y=1411..1417
x=379, y=1553..1563
x=543, y=1626..1631
y=598, x=529..531
y=564, x=307..310
y=724, x=308..331
x=338, y=256..270
x=404, y=1092..1118
x=382, y=1091..1101
y=129, x=453..471
x=446, y=1113..1122
x=315, y=1425..1435
y=1282, x=425..450
x=441, y=1553..1567
x=288, y=1293..1318
y=1822, x=304..311
y=1611, x=298..312
x=433, y=682..692
x=364, y=353..363
x=356, y=264..289
x=464, y=352..364
x=307, y=310..335
y=167, x=459..484
y=374, x=507..527
x=339, y=1039..1062
x=339, y=1342..1352
y=1143, x=289..296
x=321, y=1428..1438
x=411, y=290..292
x=360, y=1831..1842
x=404, y=1793..1802
x=490, y=175..180
y=668, x=434..437
x=331, y=714..724
x=463, y=1474..1483
x=552, y=72..76
x=417, y=1830..1844
x=400, y=977..990
y=1002, x=515..530
y=1253, x=320..336
y=484, x=416..418
y=967, x=517..533
y=307, x=433..479
x=537, y=875..885
y=608, x=518..540
x=468, y=1775..1786
y=1583, x=396..416
x=330, y=1548..1560
x=442, y=543..553
x=347, y=586..589
y=1087, x=442..444
x=467, y=1107..1109
y=398, x=486..488
x=341, y=989..1002
x=547, y=35..43
x=487, y=826..829
x=457, y=544..553
x=441, y=715..718
x=538, y=799..803
y=690, x=346..351
y=302, x=485..499
x=445, y=1821..1831
x=455, y=928..943
x=552, y=1831..1853
y=1049, x=534..537
x=457, y=1572..1573
y=1087, x=522..525
y=46, x=482..499
x=542, y=751..772
x=416, y=1814..1817
y=1197, x=479..486
x=473, y=749..752
y=334, x=347..358
x=415, y=1672..1675
y=1195, x=404..432
x=435, y=1826..1828
y=445, x=427..441
x=495, y=1238..1262
x=397, y=818..830
y=225, x=295..302
y=1674, x=315..336
x=315, y=833..841
x=443, y=886..893
y=1101, x=511..519
y=910, x=339..361
x=302, y=1427..1438
x=324, y=1267..1270
x=395, y=1557..1560
y=1853, x=552..555
y=1122, x=361..380
x=494, y=131..143
x=294, y=1078..1106
x=377, y=336..342
x=490, y=1064..1067
x=529, y=598..604
y=1295, x=323..339
x=321, y=1546..1557
x=332, y=773..778
x=518, y=1039..1063
x=488, y=389..398
y=1786, x=291..310
y=482, x=452..455
x=418, y=315..327
x=435, y=862..881
y=1880, x=326..330
x=471, y=1320..1334
y=1842, x=339..360
x=470, y=251..265
x=514, y=76..86
y=1023, x=534..556
x=533, y=479..491
x=490, y=1747..1763
x=388, y=1589..1601
x=517, y=772..793
x=488, y=199..203
x=528, y=1532..1535
x=510, y=292..309
x=308, y=104..108
y=1157, x=515..521
y=448, x=376..390
y=1812, x=533..535
y=701, x=485..496
y=732, x=343..354
x=323, y=1285..1295
y=1831, x=478..497
x=387, y=1557..1560
y=564, x=523..526
x=393, y=1130..1133
y=1230, x=464..466
y=1728, x=487..507
x=500, y=391..394
x=310, y=547..564
x=370, y=1570..1580
y=893, x=386..408
y=1469, x=414..425
x=418, y=1814..1817
x=320, y=1070..1089
x=345, y=1783..1787
x=476, y=1070..1075
y=1407, x=465..490
x=442, y=1081..1087
x=354, y=185..193
x=404, y=1185..1195
x=349, y=1340..1347
x=503, y=1340..1368
y=231, x=384..390
x=460, y=1112..1122
x=462, y=1615..1618
x=465, y=1405..1407
x=439, y=321..324
x=426, y=665..674
x=538, y=1287..1291
x=518, y=588..608
x=319, y=1812..1827
x=515, y=659..666
x=339, y=1514..1524
x=427, y=1072..1092
x=297, y=461..464
x=374, y=970..982
y=1382, x=420..443
x=443, y=526..537
x=507, y=1411..1417
x=424, y=1810..1821
x=533, y=1575..1601
x=423, y=1511..1517
y=374, x=390..397
x=450, y=1804..1808
x=368, y=1110..1119
y=1032, x=391..399
y=793, x=318..320
x=430, y=1678..1695
y=716, x=377..401
x=383, y=1653..1663
y=618, x=307..333
x=480, y=434..447
x=377, y=819..830
x=315, y=1660..1674
x=376, y=1631..1641
y=506, x=317..326
x=528, y=1295..1310
y=503, x=425..451
x=330, y=560..587
x=327, y=1342..1355
x=395, y=1347..1367
x=437, y=236..259
x=330, y=1531..1541
x=421, y=1714..1736
x=499, y=10..23
x=308, y=1187..1195
y=770, x=310..329
x=526, y=1505..1514
x=287, y=1707..1718
x=334, y=351..376
x=369, y=1818..1837
x=533, y=557..567
x=313, y=467..477
x=441, y=817..844
x=310, y=1767..1786
x=541, y=799..803
x=515, y=1816..1835
y=1787, x=345..373
x=544, y=617..637
y=1742, x=291..396
y=694, x=312..315
y=869, x=405..407
x=504, y=95..105
y=324, x=439..448
x=485, y=299..302
x=310, y=761..770
y=1626, x=340..383
x=451, y=1633..1646
y=1207, x=513..516
x=369, y=175..201
x=360, y=1446..1456
x=421, y=72..99
x=432, y=909..914
x=496, y=858..860
x=478, y=271..280
y=161, x=303..318
x=509, y=1566..1570
x=409, y=263..270
x=353, y=790..812
x=406, y=781..792
x=439, y=1826..1828
x=523, y=479..482
x=380, y=665..672
x=304, y=1820..1822
x=499, y=298..302
y=451, x=503..506
x=523, y=824..827
y=1290, x=331..333
x=425, y=1452..1469
x=320, y=40..47
y=1092, x=427..450
x=400, y=925..938
x=354, y=1834..1836
x=486, y=199..203
x=445, y=926..949
x=312, y=1591..1611
y=1208, x=472..494
y=874, x=516..526
x=339, y=1361..1372
y=47, x=296..320
y=1080, x=374..393
x=302, y=968..971
x=296, y=1117..1143
y=1808, x=447..450
x=551, y=737..740
x=416, y=799..810
x=442, y=804..810
y=358, x=413..437
y=65, x=409..425
y=1089, x=320..337
x=484, y=1475..1483
x=383, y=1617..1626
y=885, x=532..537
y=532, x=435..437
x=444, y=1081..1087
y=1259, x=509..513
x=524, y=449..457
x=548, y=1769..1775
y=614, x=370..386
x=337, y=1070..1089
y=812, x=353..374
x=397, y=352..374
y=674, x=426..444
y=949, x=445..461
x=536, y=1861..1880
x=288, y=386..411
x=519, y=1098..1101
x=298, y=265..292
x=365, y=1769..1771
y=535, x=450..502
x=339, y=1423..1445
x=482, y=1314..1316
x=377, y=1426..1437
x=372, y=1261..1263
x=316, y=996..1018
x=473, y=1598..1604
x=409, y=1092..1118
x=385, y=512..533
y=1826, x=435..439
y=1239, x=376..383
